Date,Close
2025-01-01,100.00
2025-01-02,101.50
2025-01-03,99.80
2025-01-04,102.30
2025-01-05,103.10
2025-01-06,101.90
2025-01-07,104.50
2025-01-08,105.20
2025-01-09,103.80
2025-01-10,106.00
2025-01-11,107.30
2025-01-12,106.50
2025-01-13,108.10
2025-01-14,109.00
2025-01-15,107.80
2025-01-16,110.20
2025-01-17,111.50
2025-01-18,110.00
2025-01-19,112.30
2025-01-20,113.80
2025-01-21,112.50
2025-01-22,114.00
2025-01-23,115.20
2025-01-24,114.80
2025-01-25,116.50
2025-01-26,117.00
2025-01-27,115.80
2025-01-28,118.30
2025-01-29,119.00
2025-01-30,120.50
